,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
698,Dorothy Allison,0452279690,9780452279698,,Plume,Cavedweller,1999
699,Margaret Atwood,0553569058,9780553569056,en,Bantam,The Robber Bride,1995
700,Maya Angelou,0679427430,9780679427438,en,Random House Incorporated,Wouldn't Take Nothing For My Journey Now,1993
701,Edith Wharton,0679725393,9780679725398,,Vintage Books/Library of America,The house of mirth,1990
702,Mary Brave Bird,0802114369,9780802114365,,Grove Press,Ohitika woman,1993
703,Black Elk,0803233019,9780803233010,en,Univ of Nebraska Pr,Black Elk Speaks: Being The Life Story Of A Holy Man Of The Oglala Sioux,1979
704,John Gneisenau Neihardt,0803233019,9780803233010,en,Univ of Nebraska Pr,Black Elk Speaks: Being The Life Story Of A Holy Man Of The Oglala Sioux,1979
705,Roland Leslie Warren,0819154946,9780819154941,,University Press of America,The community in America,1987
706,Johnny Molloy,0897322339,9780897322331,,Menasha Ridge Press,"The best in tent camping, Smoky Mountains: a guide for campers who hate RVs, concrete slabs, and loud portable stereos",1997
707,James McCourt,0940322978,9780940322974,,New York Review Books,Mawrdew Czgowchwz,2002
708,Elizabeth Wurtzel,1573225126,9781573225120,en,Riverhead Trade (Paperbacks),Prozac Nation: Young And Depressed In America,1995
709,Bill Bradley,1579651658,9781579651657,en,Artisan Books,The Journey From Here,2000
710,Miguel Ruiz,1878424319,9781878424310,en,Amber-Allen Publishing,The Four Agreements: A Practical Guide To Personal Freedom,1997
711,Luis Racionero,8401351421,9788401351426,,Plaza & Janés,El desarrollo de Leonardo da Vinci,1986
712,Eugeni Perea Simón,8423324311,9788423324316,,Destino,Gastronomia divina,1994
713,Thomas Hauser,8427007450,9788427007451,en,,Desaparecido,1982
714,Vicenç Villatoro,8429734996,9788429734997,,Edicions 62,Hotel Europa,1992
715,Víctor Mora,8429736131,9788429736137,ca,,La dona dels ulls de pluja: Barcelona anys 90,1993
716,Elena Castedo,8440616252,9788440616258,,"Editiones B, Grupo Zeta",Pleasure,1990
717,Ofèlia Dracs,8472224260,9788472224261,ca,,Negra i consentida,1983
718,Ofèlia Dracs,8472227421,9788472227422,en,,Essa Efa,1985
719,Antoni Serra,8474103347,9788474103342,,Edicions de la Magrana,Espurnes de sang,1987
720,M. Carme Junyent,8475960936,9788475960937,ca,,Les llengües d'Àfrica,1986
721,Jaume Capó,8477830029,9788477830023,,Area,Trànsit,1987
722,Màrius Serra,8478091246,9788478091249,,Columna,L' home del sac,1990
723,Ferran Torrent,8478097732,9788478097739,,Columna,Gràcies per la propina,1995
724,Joan Agut,8478098267,9788478098262,,Columna,El Dia que es va cremar el Liceu,1995
725,Carmen Rico-Godoy,8478800336,9788478800339,,Ediciones Temas de Hoy,Cómo ser una mujer y no morir en el intento,1990
726,Maeve Binchy,8478884963,9788478884964,,Salamandra,Tara Road,1999
727,Ferran Torrent,8483002523,9788483002520,,Columna,La mirada del tafur,1997
728,Maria Jaén,8486433193,9788486433192,,Columna,Amorrada al piló,1986
729,Paul Lester,0600586898,9780600586890,,Hal Leonard Corp,Blur: [the illustrated story],1995
730,Lev Nikolaevich Tolstoï,1853260622,9781853260629,en,Wordsworth Editions,War And Peace,1993
731,graf Leo Tolstoy,1853260622,9781853260629,en,Wordsworth Editions,War And Peace,1993
732,Simon Nye,1857938011,9781857938012,,Trafalgar Square,The A-Z of behaving badly,1996
733,Robert A. Johnson,0060804157,9780060804152,en,HarperCollins Publishers,He: Understanding Masculine Psychology,1977
734,Horacio Vázquez Rial,8466601090,9788466601092,,Ediciones B,Las dos muertes de Gardel,2001
735,Marc Gascoigne,0140382658,9780140382655,,Puffin Books,You can surf the net!,1996
736,Stephanie Maze,0152012966,9780152012960,,Harcourt Children's Books,I want to be-- a veterinarian,1997
737,Sandra Dallas,0312283784,9780312283780,,St. Martin's Griffin,Alice's tulips,2001
738,Piers Anthony,0345297709,9780345297709,,Del Rey,Centaur aisle,1981
739,Piers Anthony,0345313097,9780345313096,en,Del Rey,Crewel Lye: A Caustic Yarn,1985
740,Anne McCaffrey,0345335465,9780345335463,,Del Ray,Dragonflight,1968
741,David A. Gemmell,0345416848,9780345416841,,Del Rey,Last Sword of Power (Stones of Power),1997
742,Laura Zigman,0385333404,9780385333405,en,,Dating Big Bird,2000
743,John Grisham,044021145X,9780440211457,,Dell,The firm,1991
744,Margaret Truman,0449212084,9780449212080,en,Fawcett Books,Murder At The Kennedy Center,1990
745,Alec Guinness,0553582682,9780553582680,,Bantam,Guinness World Records 2013,2000
746,Craig Glenday,0553582682,9780553582680,,Bantam,Guinness World Records 2013,2000
747,Guinness World Records Limited,0553582682,9780553582680,,Bantam,Guinness World Records 2013,2000
748,Paula Danziger,0590947257,9780590947251,,Scholastic Inc.,Amber Brown goes fourth,1997
749,Richard A. Lupoff,074345829X,9780743458290,en,iBooks,"Philip José Farmer's, The dungeon",2003
750,Bruce Coville,074345829X,9780743458290,en,iBooks,"Philip José Farmer's, The dungeon",2003
751,Carrie Bebris,0786913878,9780786913879,,Wizards of the Coast,Pool of radiance: ruins of Myth Drannor,2001
752,Ellen Carol Dubois,0801491827,9780801491825,,Cornell University Press,"Feminism and suffrage: the emergence of an independent women's movement in America, 1848-1869",1980
753,Candice F. Ransom,0816729913,9780816729913,,Troll Associates,Why are boys so weird?,1994
754,Sam Bobrick,0843136685,9780843136685,,Price Stern Sloan,Sheldon &amp;amp; Mrs. Levine: an excruciating correspondence,1994
755,Anna Sewell,0866119531,9780866119535,,Playmore Publishers,Black Beauty,2000
756,Charles Dickens,0866119566,9780866119566,en,Playmore Publishers,Oliver Twist,1989
757,Donna K. Grosvenor,0870441663,9780870441660,,National Geographic Society,The wild ponies of Assateague Island,1975
758,D. J. Arneson,1561561428,9781561561421,,Masterwork Books,Frankenstein,1994
759,Nathaniel Hawthorne,0553210092,9780553210095,en,,The Scarlet Letter,1986
760,Anne McCaffrey,0553258524,9780553258523,,Bantam Books,Dragonsong,1986
761,Robert Westall,0688163726,9780688163723,,HarperTrophy,The watch house,1998
762,Valerie Block,1569471096,9781569471098,en,Soho PressInc,Was It Something I Said?,1998
763,Luanne Rice,055358099X,9780553580990,en,Bantam,Cloud Nine: A Novel,2000
764,Alice Sebold,0316168815,9780316168816,en,Back Bay Books,The Lovely Bones: A Novel,2004
765,T. Coraghessan Boyle,014023828X,9780140238280,en,Penguin,The Tortilla Curtain,1996
766,Ellen Gilchrist,0316314927,9780316314923,,Back Bay Books,Sarah Conley: a novel,1998
767,John Irving,0345424719,9780345424716,en,,A Widow For One Year: A Novel,1999
768,Tim Gautreaux,0375414746,9780375414749,en,Knopf,The Clearing,2003
769,Richard Russo,0375726403,9780375726408,,Vintage Books,Empire falls,2002
770,Margaret Atwood,0385503857,9780385503853,,Nan A. Talese,Oryx and Crake: a novel,2003
771,Jostein Gaarder,0425156842,9780425156841,,Berkley Trade,Sophie's world: a novel about the history of philosophy,1997
772,Anna Quindlen,0440226104,9780440226109,en,Dell Publishing Company,Black And Blue: A Novel,1998
773,Diane Johnson,0452277337,9780452277335,,Plume,Le divorce,1998
774,"Johnson, Diane",0452277337,9780452277335,,Plume,Le divorce,1998
775,Dean Ray Koontz,0553802488,9780553802481,en,Bantam,The Face,2003
776,Wally Lamb,0671021001,9780671021009,,Pocket Books,She's come undone,1998
777,Adeline Yen Mah,0767903579,9780767903578,,Broadway Books,Falling leaves: the true story of an unwanted Chinese daughter,1999
778,Barbara Ehrenreich,0805063897,9780805063899,,Holt Paperbacks,Nickel and dimed: on (not) getting by in America,2002
779,"Dunnett, Dorothy.",0679777431,9780679777434,,Vintage Books,The game of kings,1997
780,Dorothy Dunnett,0679777431,9780679777434,,Vintage Books,The game of kings,1997
781,John Le Carré,0553285343,9780553285345,en,Bantam,The Russia House,1990
782,A. C. Gordon,0486285529,9780486285528,en,Courier Corporation,Solv-A-Crime Puzzles,1995
783,Kurt D. Singer,0486285529,9780486285528,en,Courier Corporation,Solv-A-Crime Puzzles,1995
784,Singer Media Corporation,0486285529,9780486285528,en,Courier Corporation,Solv-A-Crime Puzzles,1995
785,Olivia Goldsmith,0671002481,9780671002480,,Pocket Books,The First Wives Club,1996
786,Emily Dickinson,0812523385,9780812523386,,Tom Doherty Associates,Selected poems of Emily Dickinson,1993
787,Hazel Harrison,0895774666,9780895774668,,Reader's Digest,Watercolor school,1993
788,Joseph F. Girzone,0020199090,9780020199090,,Collier Books,Joshua in the Holy Land,1992
789,Joseph F. Girzone,0385495145,9780385495141,,Doubleday,The messenger,2002
790,Lorraine Anderson,0679733825,9780679733829,en,Vintage,Sisters Of The Earth: Women's Prose And Poetry About Nature,1991
791,Tim F. LaHaye,0842329129,9780842329125,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
792,Jerry B. Jenkins,0842329129,9780842329125,en,Tyndale House Pub,Left Behind: A Novel Of The Earth's Last Days,1998
793,Ad Hudler,0345451260,9780345451262,,Ballantine Books,Househusband,2002
794,Josephine Carlton,0740700235,9780740700231,en,Andrews McMeel Publishing,Life Messages: Inspiration For The Woman's Spirit,2002
795,Ted L. Nancy,0380973545,9780380973545,,Avon Books,Letters from a nut,1997
796,Francis Wheen,0393321576,9780393321579,en,W. W. Norton & Company,Karl Marx: A Life,2001
797,Stephen King,0743424425,9780743424424,en,Pocket,The Shining,2001
798,Joyce Reardon,0786868015,9780786868018,en,Hyperion,The Diary Of Ellen Rimbauer: My Life At Rose Red,2002
799,Sidney Sheldon,0446610178,9780446610179,en,Grand Central Publishing,The Sky Is Falling,2001
800,Christopher Paul Moore,0684854953,9780684854953,en,,Santa &Amp;Amp; Pete: A Novel Of Christmas Present And Past,1998
801,Pamela Johnson,0684854953,9780684854953,en,,Santa &Amp;Amp; Pete: A Novel Of Christmas Present And Past,1998
802,Mary Higgins Clark,0743229878,9780743229876,en,Simon and Schuster,Mount Vernon Love Story: A Novel Of George And Martha Washington,2002
803,Robert Lacey,0380617625,9780380617623,,Avon,The Kingdom,1983
804,Tim Dorsey,0380732335,9780380732333,,Harper Torch,Florida roadkill: a novel,1999
805,Jodi Compton,0385337132,9780385337137,,Delacorte Press,The 37th hour,2004
806,Elmore Leonard,0440235057,9780440235057,,Dell,Be cool,2000
807,Elmore Leonard,0445402040,9780445402041,,Mysterious Press,The hunted,1986
808,Lynn Coady,0618119760,9780618119769,en,Houghton Mifflin Harcourt,Saints Of Big Harbour,2002
809,John Lawton,0871138646,9780871138644,en,,Old Flames,1996
810,Eileen Yin-Fei Lo,0026329859,9780026329859,,Macmillan USA,From the earth: Chinese vegetarian cooking = [Tsʻung ti chʻiu ta tzu jan: Chung-kuo shu tsʻai shih pʻu],1995
811,Tilden Edwards,0060621257,9780060621254,,Harper & Row,Living in the presence: disciplines for the spiritual heart,1987
812,Barbara Kingsolver,0060915544,9780060915544,en,Harper Perennial,The Bean Trees,1989
813,Barbara Kingsolver,0060917016,9780060917012,,Perennial Library,Homeland and other stories,1990
814,Vikram Seth,0060925000,9780060925000,,HarperPerennial,A suitable boy: a novel,1994
815,Isabel Allende,0060932759,9780060932756,,Perennial,Daughter of fortune: a novel,2000
816,Tony Hillerman,0061000280,9780061000287,en,HarperTorch,The Fly On The Wall,1990
817,Elizabeth Cleghorn Gaskell,0192815318,9780192815316,,Oxford University Press,Cranford,1980
818,Anita Diamant,0312195516,9780312195519,en,Macmillan,The Red Tent,1997
819,Lauren Haney,0380792664,9780380792665,,Avon,The right hand of Amon,1997
820,"Stern, Gerald",0393048977,9780393048971,,W.W. Norton,Last blue: poems,2000
821,Lilian Jackson Braun,0399137807,9780399137808,en,Putnam Pub Group,The Cat Who Wasn't There,1992
822,Patricia Daniels Cornwell,039914739X,9780399147395,en,Putnam Adult,Isle Of Dogs,2001
823,Maeve Binchy,0451203046,9780451203045,,Signet,Light a penny candle,2001
824,Martha Grimes,0451410556,9780451410559,,Onyx Book,The blue last: a Richard Jury mystery,2002
825,Henry James,0451523318,9780451523310,en,Signet Classics,The Turn Of The Screw: And Other Short Stories,1987
826,Sarah Orne Jewett,0486281965,9780486281964,en,Courier Corporation,The Country Of The Pointed Firs: And Other Stories,1896
827,William Carlos Williams,0486292940,9780486292946,en,Courier Corporation,Early Poems,1997
828,Anthony Trollope,051762639X,9780517626399,,Avenel Books,Barchester towers,1986
829,Edith Wharton,0684824442,9780684824444,,Scribner Paperback Fiction,The reef,1996
830,Harry Kemelman,0743458303,9780743458306,,I Books,Wednesday the rabbi got wet,2003
831,Mil Millington,081296666X,9780812966664,en,Villard Books,Things My Girlfriend And I Have Argued About: A Novel,2002
832,,0819215635,9780819215635,,Morehouse Pub.,Listening hearts: discerning call in community,1991
833,Czesław Miłosz,0880011025,9780880011020,,Ecco Press,Unattainable earth,1986
834,Margaret Guenther,1561011525,9781561011520,en,Rowman & Littlefield,The Practice Of Prayer,1998
835,Roberto Juarroz,1877727083,9781877727085,,White Pine Press (NY),Vertical poetry: recent poems,1992
836,Akiba Rubinstein,0486206173,9780486206172,en,Courier Corporation,"Rubinstein's Chess Masterpieces, 100 Selected Games",1960
837,Emma McLaughlin,0312278586,9780312278588,,St. Martin's Press,The nanny diaries: a novel,2002
838,Paolo Coelho,8845229041,9788845229046,,Bompiani.,Sulla sponda del fiume Piedra mi sono seduta e ho pianto,
839,Elena Ferrante,887641486X,9788876414862,,Edizioni e/o,The days of abandonment,2002
840,Paul Jennings,0140370900,9780140370904,en,Penguin Global,The Gizmo,1994
841,Mark E. Neely,0674511255,9780674511255,,Harvard University Press,The last best hope of earth: Abraham Lincoln and the promise of America,1993
842,"Brown, William Henry",0030096189,9780030096181,,Saunders College Publ.,Organic chemistry,1995
843,Larry Katzenstein,0312965745,9780312965747,,St. Martin's Paperbacks,Secrets of St. John's Wort,1998
844,David Steinman,0345374657,9780345374653,,Ballantine Books,Diet for a poisoned planet: how to choose safe foods for you and your family,1990
845,Alfie Kohn,0395710901,9780395710906,en,Houghton Mifflin Harcourt,"Punished By Rewards: The Trouble With Gold Stars, Incentive Plans, A's, Praise, And Other Bribes",1993
846,Paula Polk Lillard,080521061X,9780805210613,en,Random House LLC,Montessori Today: A Comprehensive Approach To Education From Birth To Adulthood,1996
847,David Lewis,0823032612,9780823032617,en,,Oil Painting Techniques,1983
848,Billie Livingston,0679310002,9780679310006,,Random House Canada,Going down swinging,1999
849,Adèle Lang,0312288115,9780312288112,,St. Martin's Press,Confessions of a sociopathic social climber: the Katya Livingston chronicles,1998
850,Jen Banbury,0316171107,9780316171106,,"Little, Brown",Like a hole in the head: a novel,1998
851,Patricia Daniels Cornwell,0380710218,9780380710218,en,,Postmortem,1991
852,Catherine Coulter,0515118656,9780515118650,en,Jove Publications,The Cove: An FBI Thriller,1996
853,Dominick Dunne,0553289063,9780553289060,en,Bantam,An Inconvenient Woman,1990
854,Clive Cussler,0671000306,9780671000301,en,Pocket Books,Shock Wave: A Novel,1996
855,Mary Higgins Clark,0671673688,9780671673680,en,Pocket Books,While My Pretty One Sleeps: A Novel,1990
856,John Pascal,1561672033,9781561672035,,American Literary Press,Antipodes 10,1995
857,Carl Hiaasen,0425178242,9780425178249,en,Berkley Publishing Group,Kick Ass: Selected Columns Of Carl Hiaasen,2001
858,Jonathan Safran Foer,0618173870,9780618173877,,Houghton Mifflin Co.,Everything is illuminated: a novel,2002
859,Yann Martel,0156027321,9780156027328,,Harcourt,Life of Pi: a novel,2003
860,Yann Martel,0156027321,9780156027328,,Harcourt,Life of Pi: a novel,2003
861,Francesca Marciano,0375403582,9780375403583,,Pantheon Books,Rules of the wild,1998
862,Julia Glass,0385721420,9780385721424,,Anchor Books,Three Junes,2003
863,Tawni O'Dell,0451202341,9780451202345,en,Penguin,Back Roads,2001
864,Jennifer Weiner,0743418190,9780743418195,,Atria Books,In her shoes: a novel,2002
865,Danielle Steel,0385335407,9780385335409,en,"Random House Digital, Inc.",The Kiss,2001
866,Leon Hale,0965746828,9780965746823,en,Winedale Pub,Home Spun: A Collection,1997
867,Russell Banks,0060923245,9780060923242,,HarperPerennial,The sweet hereafter: a novel,1992
868,Samuel Taylor Coleridge,0486272664,9780486272665,,"Dover Publications, Inc.",The rime of the ancient mariner and other poems,1992
869,Bradley Warshauer,0786015276,9780786015276,,Kensington Pub. Corp.,11th hour,2003
870,Bobbie Ann Mason,0060913509,9780060913502,,Perennial Library,In country: a novel,1989
871,Nora Roberts,0553272837,9780553272833,en,Random House of Canada,Brazen Virtue,1988
872,Karen Robards,0440225078,9780440225072,,Dell,Ghost moon,2001
873,Emma Lathen,0312145543,9780312145545,en,Minotaur Books,Brewing Up A Storm: A John Thatcher Mystery,1996
874,Dean Koontz,0425181111,9780425181119,en,Penguin,Strangers,2002
875,Faye Kellerman,0380732688,9780380732685,,Avon Books,Milk and honey: a novel,2003
876,Jacquelyn Mitchard,0140286276,9780140286274,,Penguin (Non-Classics),The deep end of the ocean,1999
877,Nora Roberts,0373484100,9780373484102,,Silhouette,Night tales,2000
878,Jane Smiley,0449907481,9780449907481,en,Fawcett Books,A Thousand Acres,1992
879,Diane Mott Davidson,0553107305,9780553107302,,Bantam Books,Chopping spree,2002
880,Candace Bushnell,080213825X,9780802138255,,,Four blondes,
881,Nora Roberts,0515127833,9780515127836,en,Penguin,River's End,2000
882,Kristin Hannah,0345441133,9780345441133,en,"Random House Digital, Inc.",Summer Island: A Novel,2002
883,"Marshall, Michael",0515134279,9780515134278,,Jove,The straw men,2002
884,Allen Widome,0945586051,9780945586050,,Editech Press,The doctor/the patient: the personal journey of a physician with cancer,1989
885,John Grisham,0385490992,9780385490993,,Doubleday,The street lawyer,1998
886,John Grisham,0385424728,9780385424721,en,Doubleday Books,The Chamber,1994
887,Wilbur A. Smith,0312980388,9780312980382,,St. Martin's Paperbacks,Warlock: a novel of ancient Egypt,2002
888,Mike Thaler,0590419625,9780590419628,,Scholastic,The teacher from the black lagoon,1989
889,John Grisham,0385472951,9780385472951,,Doubleday,The partner,1997
890,Michael Slade,0451195663,9780451195661,en,Signet,Primal Scream,1998
891,John Sandford,0425182878,9780425182871,,G.P. Putnam's Sons,Chosen prey,2001
892,Tami Hoag,0553564528,9780553564525,en,Bantam,Guilty As Sin,1996
893,Tami Hoag,055356451X,9780553564518,en,Bantam,Night Sins,1995
894,Mary Higgins Clark,0743412621,9780743412629,en,Pocket Books,The Second Time Around,2004
895,Ted Dekker,0849943728,9780849943720,en,WestBow Press,Thr3E,2003
896,Angela Elwell Hunt,0849943450,9780849943454,,W Pub. Group,The canopy,2003
897,Ted Dekker,084994371X,9780849943713,en,Thomas Nelson,Blink Of An Eye,2002
898,C. S. Lewis,0590406019,9780590406017,,,The last battle,
899,Pauline Baynes,0590406019,9780590406017,,,The last battle,
900,Fengcheng Yang,0590406019,9780590406017,,,The last battle,
901,Clive S. Lewis,0020442408,9780020442400,en,,Prince Caspian: The Return To Narnia,1970
902,Will Eisner,0553225987,9780553225983,,Bantam,Robert's Rules of order,1986
903,Robin Cook,042517736X,9780425177365,en,Penguin,Abduction,2000
904,Ann Rule,0671868713,9780671868710,,Pocket Star Books,"and never let her go: Thomas Capano, the deadly seducer",2000
905,E. Lynn Harris,038549825X,9780385498258,en,Anchor,Not A Day Goes By: A Novel,2001
906,Linda Goodman,0553202294,9780553202298,,Bantam Doubleday Dell,Linda Goodman's Sun signs,1981
907,Anne Rice,0345313860,9780345313867,,Ballantine Books,The vampire Lestat,1989
908,Anne Rice,0345369947,9780345369949,en,Random House LLC,"The Mummy, Or Ramses The Damned: A Novel",1991
909,Judith Rossner,067170124X,9780671701246,en,,His Little Women: A Novel,1991
910,Marilyn French,0345353625,9780345353627,,Ballantine Books,Her mother's daughter: a novel,1988
911,Wayne W. Dyer,0308102282,9780308102286,,Funk & Wagnalls,Your erroneous zones,1976
912,Armistead Maupin,006017143X,9780060171438,,HarperCollins,The night listener: a novel,2000
913,Julie Morgenstern,0805056491,9780805056495,,Henry Holt,"Organizing from the inside out: the foolproof system for organizing your home, your office, and your life",1998
914,Peter Straub,0679401377,9780679401377,,Random House,The Hellfire Club,1996
915,Shirley Harrison,1562827049,9781562827045,,Hyperion,The Diary of Jack the Ripper,1993
916,Shirley Harrison,1562827049,9781562827045,,Hyperion,The Diary of Jack the Ripper,1993
917,Jack,1562827049,9781562827045,,Hyperion,The Diary of Jack the Ripper,1993
918,Danielle Steel,0385306032,9780385306034,,Delacorte Press,Vanished,1993
919,Barbara Taylor Bradford,0816152446,9780816152445,,G K Hall & Co,The women in his life,1991
920,Lisa Jackson,0821772953,9780821772959,,Kensington Pub. Corp.,The morning after,2004
921,Sharyn McCrumb,0345379454,9780345379450,,Ballantine Books,Missing Susan: an Elizabeth MacPherson mystery,1992
922,Kay Hooper,0553576925,9780553576924,en,Bantam,Hiding In The Shadows,2000
923,Mary Higgins Clark,0743206053,9780743206051,en,Simon and Schuster,Kitchen Privileges: A Memoir,2002
924,Cokie Roberts,0688169678,9780688169671,,Perennial,We are our mothers' daughters,2000
925,Shana Corey,0439319552,9780439319553,en,Arthur A. Levine Books,First Graders From Mars,2001
926,,0590870157,9780590870153,,Scholastic,My Garden (Beginning Literacy),1994
927,Jamie Simons,0307001164,9780307001160,en,Golden Books,Disney's 101 Dalmatians,1991
928,Patricia Reilly Giff,0440441501,9780440441502,,Dell Pub.,In the dinosaur's paw,1985
929,Beverly Cleary,0590687301,9780590687300,,,Ralph S. Mouse,2014
930,Paul O. Zelinsky,0590687301,9780590687300,,,Ralph S. Mouse,2014
931,Tracy Dockray,0590687301,9780590687300,,,Ralph S. Mouse,2014
932,Katherine A. Applegate,0439061644,9780439061643,,Scholastic,The first journey,1999
933,Jane Yolen,0439569842,9780439569842,,Scholastic Book Services,How do dinosaurs learn to read?,2003
934,Golden Books,0307118703,9780307118707,,Golden Books,My first book about space: a question and answer book,1997
935,Marvin Miller,0590418858,9780590418850,en,,You Be The Jury,1989
936,Craig Boldman,030720152X,9780307201522,,Golden books,Comic characters,1983
937,Raymond James,0816728739,9780816728732,,Troll Associates,The time machine,1993
938,Bobbie Kalman,0865050880,9780865050884,,Crabtree Publishing Company,I Like School,1985
939,Mercedes Lackey,0812519655,9780812519655,,Tor Books,Sacred ground,1995
940,Mercedes Lackey,0812524853,9780812524857,en,Macmillan,Burning Water,1992
941,Dorothy Gilman,0449211770,9780449211779,,,The tightrope walker,
942,MoveOn.org,193072229X,9781930722293,,Inner Ocean Pub.,MoveOn's 50 ways to love your country: how to find your political voice and become a catalyst for change,2004
943,MoveOn.org,193072229X,9781930722293,,Inner Ocean Pub.,MoveOn's 50 ways to love your country: how to find your political voice and become a catalyst for change,2004
944,Mercedes Lackey,0812521129,9780812521122,en,Tor Books,Children Of The Night: A Diana Tregarde Investigation,1990
945,Christopher Finch,0345251733,9780345251732,,Ballantine,Rainbow: the stormy life of Judy Garland,1976
946,Charles Frazier,1400077826,9781400077823,,Atlantic Monthly Press,Cold mountain,1998
947,Julia Spencer-Fleming,0312995431,9780312995430,,St. Martin's Paperbacks,A fountain filled with blood,
948,Julia Spencer-Fleming,0312312628,9780312312626,,Thomas Dunne Books/St. Martin's Minotaur,Out of the deep I cry,2004
949,Fannie Flagg,0446394521,9780446394529,,Warner Books,Daisy Fay and the miracle man,1992
950,"Wilder, Laura Ingalls",0590021117,9780590021111,,Scholastic,Little house on the prairie,1963
951,Frank McCourt,068484267X,9780684842677,en,Simon and Schuster,Angela's Ashes: A Memoir,1999
952,Lisa Gardner,0553578693,9780553578690,en,Bantam,The Next Accident,2001
953,Beverly Cleary,0380709260,9780380709267,,Morrow,Socks,1973
954,Gertrude Chandler Warner,0807565288,9780807565285,,A. Whitman and Co.,The pet shop mystery,1996
955,Julia Spencer-Fleming,0312986769,9780312986766,,St. Martin's Paperbacks,In the bleak midwinter,2003
956,Philip Pullman,0345413377,9780345413376,en,Del Rey Books,The Amber Spyglass,2001
957,Philip Pullman,0345413369,9780345413369,en,Del Rey,The Subtle Knife,1998
958,Philip Pullman,0679893105,9780679893103,,Alfred A. Knopf,The golden compass,1998
959,Lynn S. Hightower,0061096091,9780061096099,,Harpercollins (Mm),Eyeshot,1997
960,Sharyn McCrumb,0345369068,9780345369062,en,Fawcett Books,"If Ever I Return, Pretty Peggy-O",1991
961,Sharyn McCrumb,0451184718,9780451184719,,Signet,The rosewood casket,1997
962,Dorothy Gilman,0449209121,9780449209127,en,Fawcett Books,The Amazing Mrs. Pollifax,1970
963,Eric Schlosser,0060938455,9780060938451,en,Harper Perennial,Fast Food Nation: The Dark Side Of The All-American Meal,2002
964,Suzanne Brockmann,080411952X,9780804119528,en,,The Unsung Hero,2000
965,Gail Carson Levine,0060575808,9780060575809,,Eos,The two princesses of Bamarre,2004
966,Gail Carson Levine,0060558865,9780060558864,,HarperCollinsPublishers,Ella enchanted,2003
967,Frances Kuffel,0767912918,9780767912914,,Broadway,Passing for thin: losing half my weight and finding myself,2004
968,Susan Conant,0553298860,9780553298864,,Crimeline,Bloodlines,1993
969,David Schickler,0385335679,9780385335676,en,Dial Press,Kissing In Manhattan,2002
970,Maeve Binchy,0440122090,9780440122098,,Dell Pub.,Echoes,1989
971,Judith McNaught,0671525832,9780671525835,en,Simon and Schuster,Someone To Watch Over Me,2003
972,Ray Bradbury,0553279572,9780553279573,,Spectra,The Toynbee convector: stories,1989
973,Janet Evanovich,0061009059,9780061009051,,HarperTorch,One for the money,1995
974,Sylvia Plath,0060930187,9780060930189,,HarperPerennial,The bell jar,1999
975,Ilona Koidahl,0516076272,9780516076270,,Childrens Press,A polar bear called Pingo,1974
976,Richard North Patterson,0679450432,9780679450436,,Knopf,Dark lady,1999
977,Fern Michaels,0821775863,9780821775868,,Zebra Books,The future scrolls,2003
978,Fern Michaels,0821770209,9780821770207,,Zebra,About face,2003
979,Betsy Cromer Byars,0670855758,9780670855759,en,Viking Childrens Books,Tarot Says Beware,1995
980,Bruce Sterling,0553562819,9780553562811,,Spectra,Globalhead: stories,1994
981,James Patterson,0446364193,9780446364195,,Warner Books,Along came a spider: a novel,2001
982,Sarah Ban Breathnach,0446519138,9780446519137,en,Grand Central Publishing,Simple Abundance: A Daybook Of Comfort And Joy,1995
983,Alice Hoffman,0425179672,9780425179673,en,Berkley Publishing Group,The River King,2001
984,Lisa Scottoline,0061042943,9780061042942,,HarperPaperbacks,Final appeal,1994
985,Spencer Johnson,0399144463,9780399144462,en,Putnam Adult,Who Moved My Cheese?: An Amazing Way To Deal With Change In Your Work And In Your Life,2000
986,Ian McEwan,0965404560,9780965404563,,,Atonement: a novel,
987,Bernhard Robben,0965404560,9780965404563,,,Atonement: a novel,
988,David Feldman,006015781X,9780060157814,en,Harpercollins,Why Do Clocks Run Clockwise? And Other Imponderables: Mysteries Of Everyday Life Explained,1987
989,Richard Bausch,0060930705,9780060930707,en,Harper Perennial,Someone To Watch Over Me: Stories,2000
990,Katie Fforde,0312206763,9780312206765,en,Macmillan,Stately Pursuits,1999
991,James Burke,0316116025,9780316116022,,"Little, Brown and Co.","The pinball effect: how renaissance water gardens made the carburetor possible, and other journeys through knowledge",1996
992,Bliss Broyard,0156013967,9780156013963,,Harcourt,"My father, dancing: stories",2000
993,Sara Paretsky,0385314019,9780385314015,,Delacorte Press,Women on the case,1996
994,Charles Richard Webb,0743444167,9780743444163,,Washington Square Press,New Cardiff,2002
995,Elizabeth Benedict,0618231617,9780618231614,,Houghton Mifflin,Almost,2002
996,Stanley Morison,1567920047,9781567920048,,D.R. Godine,A tally of types,1999
997,Henry Miller,0811203220,9780811203227,en,New Directions Publishing,Stand Still Like The Hummingbird,1962
998,David Whyte,1573229148,9781573229142,en,Riverhead Trade (Paperbacks),Crossing The Unknown Sea: Work As A Pilgrimage Of Identity,2002
